Plot,Shrub Cover (%),Shrub Ht (m),Herb Cover (%),Ground Cover (%),X_COORD,Y_COORD,Management Unit,Burn_YEAR,Thinning_Year,Notes,,,,,,Thinning_Year
Q135,30,0.3,1,"CW-15, TB-8, LI-77",580357.375,1875724.875,East Woods.central,,,,,,,,,
Q96,80,0.7,2,CW-3 TB-6 LI-91,576461.5,1875580.75,Central Woodland,2007,,,,,,,,
QQ111,15,0.75,10,CW-10 TB-6 LI-84,577864.5,1878235.125,woodland,,,,,,,,,2007-08
R109,5,0.5,2,"LI-92, TB-7, CW-1",577756.625,1875728.625,East Woods.central,,,,,,,,,2007-08
R113,0,0,1,"LI-85, CW-10, TB-5",578156.1875,1875743.375,East Woods.central,,,,,,,,,2007-08
R116,0,0,7,"BA-20, LI-70, RO-1, TB-6, CW-3",578455.75,1875754.375,East Woods.central,,,,,,,,,2007-08
R128,75,0.4,5,"LI-92, CW-3, TB-5",579654.5625,1875798.875,East Woods.central,burned once in 1990,,,,,,,,2007-08
R83,70,2,40,TB-2 LI-98,575159.3125,1875632.75,Central Woodland,2006,2008-09,,,,,,,
R86,40,1.5,25,CW-2 TB-3 LI-95,575458.875,1875643.75,Central Woodland,2004,2008-09,,,,,,,
RR113,15,1.25,60,"LI-90, TB-7. CW-3",578060.625,1878342.5,woodland,,,,,,,,,
S105,3,0.25,5,"LI-65, BA-27, CW-2, BA-6",577353.375,1875814,East Woods.central,,,,,,,,,
S111,15,1,5,"BA-60, RO-5, LI-25, CW-7, TB-3",577952.6875,1875836.125,East Woods.central,,,,,,,,,
S126,20,0.75,85,"LI-91, CW-3, TB-6",579451.0625,1875891.5,East Woods.central,,,,,,,,,
S134,60,0.5,10,"LI-92, CW-5, TB-3",580250.125,1875921,East Woods.central,,,,,,,,,
S86,4,1,10,CW-3 TB-3 LI-94,575455.25,1875743.625,Central Woodland,2006,2008-09,,,,,,,
S92,20,2.25,70,CW-4 TB-3 LI-93,0,0,Central Woodland,periodic burns between mid-1980s and 2003,2008-09,,,,,,,
S97,60,1,10,CW-8 TB-5 LI-87,576554.1875,1875784.375,Central Woodland,2007,,,,,,,,
SS113,30,0.5,80,"LI-90, TB-10",578056.9375,1878442.375,woodland,,,,,,,,,
T114,1,0.1,4,"LI-90, CW-6, TB-4",578248.625,1875946.875,East Woods.central,,,,,,,,,
T122,35,0.4,15,"LI-90, TB-6, CW-3, FE (fence)-1 ",579047.75,1875976.5,East Woods.central,,,,,,,,,1996-97
T132,5,0.6,20,"LI-75, CW-20, TB-5",580046.6875,1876013.5,East Woods.central,,,,,,,,,
T84,98,1.75,25,CW-6 TB-1 LI-93,575251.875,1875836.25,Central Woodland,2006,2008-09,,,,,,,
T88,50,1.75,75,CW-1 TB-3 LI-96,575651.4375,1875851,Central Woodland,2004,2008-09,,,,,,,
TT110,90,1.25,20,"LI-85, RO-2, BA-4, CW-2, TB-4, TR-3",577753.5625,1878531.375,woodland,,,mowed,,,,,,
U107,30,1.5,2,"LI-65, BA-25, CW-7, TB-3",577545.8125,1876021.375,East Woods.central,,,,,,,,,
U110,50,1.25,60,"LI-80, BA-10, TB-5, CW-5",577845.375,1876032.375,East Woods.central,,,,,,,,,
U111,2,0.75,3,"LI-77, BA-3, CW-15, TB-10",577945.375,1876036.125,East Woods.central,,,,,,,,,
U125,1,0.75,65,"LI-85, CW-10, TB-5",579343.75,1876087.75,East Woods.central,2004,,,,,,,,2007-08
U130,1,1,10,"LI-85, CW-10, TB-5",579843.375,1876106.25,East Woods.central,,,,,,,,,
U134,1,0.25,1,"CW-5, TB-4, LI-91",580242.8125,1876121,East Woods.central,,,,,,,,,
U95,70,2,3,CW-1 TB-5 LI-94,576347.125,1875977,Central Woodland,2007,,,,,,,,
U98,75,2,15,TB-6 BA-4 LI-90,576646.6875,1875988,Central Woodland,2006,2004-05,,,,,,,
V111,2,0.33,5,"LI-90, CW-6, TB-4",577941.75,1876135.875,East Woods.central,,,,,,,,,
V113,1,0.33,10,"LI-92, CW-4, TB-6",578141.5625,1876143.25,East Woods.central,,,,,,,,,
V114,15,1,20,"LI-85, BA-7, CW-3, TB-5",578241.3125,1876146.875,East Woods.central,,,,,,,,,
V121,10,0.75,70,"LI-80, BA-10, WA-1, RO-2, CW-2, TB-5",0,0,East Woods.central,2004,,,,,,,,
V134,6,0.33,0,CW-20 TB-4 LI-76,580239.1875,1876220.875,East Woods.central,,,,,,,,,
V84,50,1.25,15,CW-2 TB-4 LI-94,575244.5625,1876036.25,Central Woodland,2006,2008-09,,,,,,,
V89,60,1.75,2,CW-6 TB-3 LI-91,575744.125,1876054.75,Central Woodland,2006,2008-09,,,,,,,
W106,25,1,40,"TB-3, CW-5, LI-87, BA-10",577438.5,1876217.5,East Woods.central,,,,,,,,,
W109,50,3,75,BA-70 LI-5 CW-15 TB-10,577738.3125,1876228.625,East Woods.central,,,,,,,,,
W112,2,0.25,4,"LI-96, TB-3, CW-1",578037.875,1876239.625,East Woods.central,,,,,,,,,2007-08
W128,1,0.75,80,"RO-7, BA-3, TB-5, LI-80, CW-5",0,0,East Woods.central,,,,,,,,,2007-08
W132,3,0.25,5,"LI-92, RO-1, CW-3, TB-4",580035.6875,1876313.5,East Woods.central,,,,,,,,,2007-08
W91,75,2,7,CW-4 TB-3 LI-92 RO-1,575940.1875,1876162.125,Central Woodland,2006,2008-09,,,,,,,
X110,75,1.5,25,LI-85 CW-10 TB-5,577834.4375,1876332,East Woods.central,,,,,,,,,
X118,1,0.5,65,"LI-85, CW-10, TB-5",578633.6875,1876361.625,East Woods.central,2004,,,,,,,,
X121,NO DATA,,,,578933.37500,1876372.75000,East Woods.central,2004,,,,,,,,
X125,2,0.25,20,"LI-85, BA-5, CW-5, TB-5",,,,,,,,,,,,
X87,35,1.25,3,CW-15 TB-4 LI-81,575536.875,1876247.25,Central Woodland,2006,2008-09,,,,,,,
X93,50,1,3,CW-3 TB-4 LI-93,576136.25,1876269.375,Central Woodland,2006,2008-09,,,,,,,
Y105,20,1.5,1,"LI-85, BA-5, CW-5, TB-5",577331.4375,1876413.625,hawthorn meadow,,,,,,,,,1996-97
Y110,10,0.75,15,"LI-75, BA-10, CW-10, TB-5",577830.75,1876432,hawthorn meadow,,,,,,,,,1996-97
Y112,3,0.5,2,"LI-90, TB-3, CW-7",578030.5625,1876439.375,East Woods.central,,,,,,,,,
Y115,5,0.5,90,"LI-20, BA-70, CW-5, TB-5",0,0,East Woods.central,,,,,,,,,
Y121,10,0.5,25,"LI-90, CW-7, TB-3",0,0,Lacey bottoms,2004,,,,,,,,
Y128,1,0.25,15,"LI-75, RO-5, TB-15, BA-1, CW-4",579628.9375,1876498.625,East Woods.central,,,,,,,,,
Y130,0,NA,35,"LI-90, CW-7, TB-3",579828.75,1876506,East Woods.central,,,,,,,,,
Y90,40,0.75,15,CW-2 TB-5 LI-93,575832.875,1876358.25,Central Woodland,2006,2005-06,,,,,,,
Z118,20,1,15,"LI-80, CW-15, TB-5",578626.3125,1876561.625,East Woods.central,2004,,,,,,,,2007-08
Z122,5,0.75,35,"LI-70, BA-10, CW-15, TB-5",579025.75,1876576.375,Lacey bottoms,2004,,,,,,,,2007-08
Z124,45,1.5,80,"LI-60, BA-20, CW-15, TB-5",579225.625,1876583.875,Lacey bottoms,2004,,,,,,,,
Z128,1,1,30,"LI-80, CW-12, TB-8",579625.25,1876598.625,East Woods.central,,,,,,,,,
Z132,2,0.3,5,"LI-85, CW-9, TB-6",580024.75,1876613.375,Lacey bottoms,,,,,,,,,
Z86,20,1.25,90,TB-3 CW-2 LI-95,0,0,Central Woodland,2006,2005-06,,,,,,,
Z92,60,1.5,3,CW-2 TB-3 LI-95,576029.125,1876465.75,Central Woodland,2006,2005-06,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,1996-97,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,2007-08,,,,,
,,,,,,,,,,,2007-08,,,,,
,,,,,,,,,,,2007-08,,,,,
,,,,,,,,,,,2007-08,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,1996-97,,,,,
,,,,,,,,,,,1996-97,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
